,year,selling_price,km_driven,mileage,engine,max_power,torque,seats,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
63,2013,425000,60000,21.27,1396.0,88.76,219.6,5.0,True,False,False,True,False,True,False,False,False,False
64,2015,630000,147000,26.59,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,True,False,False
65,2017,600000,25000,18.16,1196.0,86.8,112.0,5.0,False,False,True,True,False,True,False,False,False,True
66,2019,650000,30000,21.4,1197.0,83.1,115.0,5.0,False,False,True,True,False,True,False,False,False,False
67,2016,540000,40000,22.0,1498.0,108.495,250.0,5.0,True,False,False,True,False,True,False,False,False,False
68,2015,630000,135000,25.1,1498.0,98.6,200.0,5.0,True,False,False,True,False,True,False,False,False,False
69,2018,448000,30000,20.51,998.0,67.0,90.0,5.0,False,False,True,True,False,False,False,False,False,False
70,2017,500000,80000,21.66,1498.0,108.62,250.0,5.0,True,False,False,True,False,True,False,False,False,False
71,2016,745000,70000,24.3,1248.0,88.5,200.0,5.0,True,False,False,True,False,True,False,False,False,False
72,2019,1025000,9850,24.3,1248.0,88.5,200.0,5.0,True,False,False,True,False,False,False,False,False,False
73,2011,235000,60000,20.36,1197.0,78.9,111.7,5.0,False,False,True,True,False,True,False,True,False,False
74,2016,630000,70000,25.2,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,False,False,False
75,2015,1700000,78000,12.55,2982.0,168.5,343.0,7.0,True,False,False,True,False,True,False,True,False,False
76,2013,450000,120000,22.9,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,True,False,False
77,2012,450000,120000,16.02,1373.0,93.7,130.0,7.0,False,False,True,True,False,True,False,True,False,False
78,2003,50000,70000,19.41762110224801,1456.711219879518,91.33642205917592,180.71248774355752,5.416917670682731,True,False,False,True,False,True,False,False,False,False
79,2013,450000,170000,20.54,1598.0,103.6,250.0,5.0,True,False,False,True,False,True,False,False,False,False
80,2016,1200000,140000,12.99,2494.0,100.6,200.0,8.0,True,False,False,True,False,True,False,False,False,False
81,2015,610000,90000,22.77,1498.0,98.59,205.0,5.0,True,False,False,True,False,True,False,False,False,False
82,2016,2500000,30000,15.71,1998.0,189.0,280.0,5.0,False,False,True,True,False,False,False,True,False,False
83,2017,484999,10000,23.1,998.0,67.04,90.0,5.0,False,False,True,False,False,True,False,False,False,False
84,2016,275000,49000,19.02,1198.0,67.05,104.0,5.0,False,False,True,False,False,True,False,False,False,False
85,2016,315000,32000,24.7,796.0,47.3,69.0,5.0,False,False,True,False,False,True,False,False,False,False
86,2016,275000,38000,24.7,796.0,47.3,69.0,5.0,False,False,True,False,False,True,False,False,False,False
87,2015,475000,78000,19.41762110224801,1456.711219879518,91.33642205917592,180.71248774355752,5.416917670682731,True,False,False,False,False,True,False,False,False,False
88,2012,290000,28000,19.81,1086.0,68.05,99.04,5.0,False,False,True,False,False,True,False,False,False,False
89,2017,280000,32000,14.0,796.0,35.0,59.78,5.0,False,False,True,False,False,True,False,False,False,False
90,2010,225000,44000,19.41762110224801,998.0,58.2,77.0,5.0,False,True,False,False,False,True,False,False,False,False
91,2015,455000,42000,16.47,1198.0,74.0,110.0,5.0,False,False,True,False,False,True,False,False,False,False
92,2015,351000,45000,19.81,1086.0,68.05,99.04,5.0,False,False,True,False,False,True,False,True,False,False
93,2012,535000,12000,15.04,1598.0,103.6,153.0,5.0,False,False,True,False,False,True,False,True,False,False
94,2009,175000,55500,18.2,998.0,67.1,90.0,5.0,False,False,True,False,False,True,False,False,False,False
95,2013,525000,61500,18.5,1197.0,82.85,113.7,5.0,False,False,True,False,False,True,False,False,False,False
96,2016,600000,150000,26.59,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,False,False,False
97,2016,565000,72000,19.1,1197.0,82.0,114.0,5.0,False,False,True,False,False,False,False,False,False,False
98,2008,120000,68000,19.7,796.0,46.3,62.0,5.0,False,False,True,False,False,True,False,False,False,True
99,2017,725000,110000,22.54,1396.0,88.73,219.7,5.0,True,False,False,True,False,True,False,False,False,False
100,2009,185000,77000,21.79,998.0,67.05,90.0,5.0,False,False,True,False,False,True,False,True,False,False
101,2010,200000,100000,18.8,1248.0,90.0,200.0,5.0,True,False,False,True,False,True,False,True,False,False
102,2019,615000,10000,21.21,1197.0,81.8,113.0,5.0,False,False,True,True,False,True,False,False,False,False
103,2016,270000,100000,15.37,1196.0,73.0,101.0,7.0,False,False,True,True,False,True,False,False,False,True
104,2018,610000,35000,21.4,1197.0,83.1,115.0,5.0,False,False,True,True,False,True,False,False,False,False
105,2014,625000,70000,11.79,2179.0,120.0,290.0,8.0,True,False,False,True,False,False,False,True,False,False
106,2020,400000,5000,19.0,1194.0,94.68,120.0,5.0,False,False,True,True,False,True,False,True,False,False
107,2017,866000,37800,17.0,1591.0,121.3,151.0,5.0,False,False,True,True,False,True,False,False,False,False
108,2010,700000,114000,14.3,1798.0,160.0,250.0,5.0,False,False,True,True,False,True,False,False,False,False
109,2010,300000,48000,15.8,1172.0,65.0,96.0,5.0,False,False,True,True,False,True,False,False,False,False
110,2019,1700000,32000,15.1,2179.0,155.0,360.0,7.0,True,False,False,True,False,True,False,False,False,False
111,2016,375000,100000,19.09,1405.0,69.01,135.0,5.0,True,False,False,True,False,True,False,False,False,False
112,2013,522000,150000,22.32,1582.0,126.32,259.8,5.0,True,False,False,True,False,True,False,True,False,False
113,2013,451999,69000,21.9,1396.0,88.76,219.6,5.0,True,False,False,True,False,True,False,False,False,False
114,2009,300000,100000,14.53,1798.0,138.1,173.0,5.0,False,False,True,True,False,True,False,True,False,False
115,2020,475000,13000,21.63,998.0,67.04,90.0,5.0,False,False,True,True,False,True,False,False,False,False
116,2016,780000,60000,24.3,1248.0,88.5,200.0,5.0,True,False,False,True,False,True,False,False,False,False
117,2017,595000,40000,20.85,1197.0,83.14,115.0,5.0,False,False,True,True,False,True,False,False,False,False
118,2017,440000,35000,20.51,998.0,67.04,90.0,5.0,False,False,True,True,False,True,False,False,False,False
119,2010,300000,120000,25.200000000000003,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,True,False,False
120,2014,400000,70000,20.45,1461.0,83.8,200.0,5.0,True,False,False,True,False,True,False,False,False,True
121,2016,1140000,50000,19.67,1582.0,126.2,259.9,5.0,True,False,False,True,False,True,False,False,False,False
122,2017,850000,76139,23.0,1498.0,98.96,205.0,5.0,True,False,False,True,False,True,False,False,False,False
123,2012,370000,175000,19.3,1248.0,73.9,190.0,5.0,True,False,False,True,False,True,True,False,False,False
124,2018,350000,25000,23.01,999.0,67.0,91.0,5.0,False,False,True,True,False,True,False,False,False,False
125,2015,360000,40000,23.1,998.0,67.04,90.0,5.0,False,False,True,True,False,True,False,True,False,False
126,2008,105000,65000,19.7,796.0,46.3,62.0,5.0,False,False,True,True,False,True,True,False,False,False
127,2013,625000,90000,20.77,1248.0,88.76,200.0,7.0,True,False,False,True,False,True,False,True,False,False
128,2009,135000,80000,17.92,1086.0,62.1,96.1,5.0,False,False,True,True,False,True,False,True,False,False
129,2015,700000,110000,20.77,1248.0,88.76,200.0,7.0,True,False,False,True,False,True,False,True,False,False
130,2019,690000,1303,17.8,1198.0,86.7,109.0,5.0,False,False,True,False,False,True,False,False,False,False
131,2018,3975000,31800,17.01,1968.0,188.0,400.0,5.0,True,False,False,False,False,False,False,False,False,False
132,2019,5150000,20000,22.37,2487.0,214.56,202.0,5.0,False,False,True,False,False,False,False,False,False,False
133,2017,3200000,45000,19.33,1999.0,177.0,430.0,5.0,True,False,False,False,False,False,False,False,False,False
134,2017,4100000,17000,9.5,3604.0,280.0,347.0,5.0,False,False,True,True,False,False,False,False,False,False
135,2019,4500000,21000,12.83,1999.0,148.31,382.0,7.0,True,False,False,False,False,False,False,False,False,False
136,2017,6000000,37000,13.5,2987.0,254.79,620.0,5.0,True,False,False,False,False,False,False,False,False,False
137,2018,3790000,29500,22.48,1995.0,187.74,400.0,5.0,True,False,False,False,False,False,False,False,False,False
138,2017,2150000,27000,19.41762110224801,1456.711219879518,91.33642205917592,180.71248774355752,5.416917670682731,True,False,False,False,False,False,False,False,False,False
139,2019,5800000,7500,16.78,1995.0,190.0,400.0,5.0,True,False,False,False,False,False,False,False,False,False
140,2018,1864999,50000,14.67,1798.0,177.46,180.71248774355752,5.0,False,False,True,False,False,False,False,False,False,False
141,2016,2700000,35000,15.0,2143.0,204.0,500.0,5.0,True,False,False,False,False,False,False,False,False,False
142,2019,1750000,19000,13.96,1451.0,141.0,250.0,5.0,False,False,True,False,False,False,False,False,False,False
143,2017,795000,41000,18.0,1497.0,117.6,145.0,5.0,False,False,True,False,False,False,False,False,False,False
144,2013,625000,39000,14.28,1798.0,138.03,173.0,5.0,False,False,True,False,False,False,False,False,False,False
145,2018,3400000,22000,18.0,1969.0,190.0,400.0,5.0,True,False,False,False,False,False,False,False,False,False
146,2015,2650000,53000,12.07,2967.0,241.4,550.0,7.0,True,False,False,False,False,False,False,False,False,False
147,2015,535000,40000,26.21,1248.0,88.5,200.0,5.0,True,False,False,False,False,True,False,False,False,False
148,2017,5850000,47000,13.5,2987.0,282.0,490.0,5.0,True,False,False,False,False,False,False,False,False,False
149,2010,975000,72200,10.8,2497.0,150.0,250.0,5.0,False,False,True,False,False,False,False,True,False,False
150,2016,805000,49900,16.3,1797.0,147.5,177.5,5.0,False,False,True,False,False,True,False,False,False,False
151,2017,2625000,9000,13.6,1999.0,177.0,430.0,5.0,True,False,False,False,False,False,False,False,False,False
152,2018,811000,11000,17.0,1198.0,108.5,170.0,5.0,False,False,True,False,False,True,False,False,False,False
153,2011,375000,49000,15.04,1598.0,103.6,153.0,5.0,False,False,True,True,False,True,False,False,False,False
154,2012,550000,95000,16.3,1797.0,147.5,177.5,5.0,False,False,True,True,False,True,False,False,False,False
155,2016,645000,11000,14.3,1598.0,103.5,153.0,5.0,False,False,True,False,False,False,False,False,False,False
156,2018,2550000,18000,15.04,1991.0,183.0,300.0,5.0,False,False,True,False,False,False,False,False,False,False
157,2014,599000,46100,16.02,1373.0,93.7,130.0,7.0,False,False,True,False,False,True,False,False,False,False
158,2017,2700000,16000,14.74,1991.0,181.04,300.0,5.0,False,False,True,False,False,False,False,False,False,False
159,2017,875000,18000,15.6,1497.0,116.3,146.0,5.0,False,False,True,False,False,False,False,False,False,False
160,2019,894999,9654,19.56,1197.0,81.8,113.0,5.0,False,False,True,False,False,False,False,False,False,False
161,2011,175000,11000,23.95,998.0,67.05,90.0,5.0,False,False,True,False,False,True,False,False,False,False
162,2012,340000,24300,21.21,1197.0,81.8,113.0,5.0,False,False,True,False,False,True,False,False,False,False
163,2016,1525000,42163,11.36,2755.0,171.5,360.0,7.0,True,False,False,False,False,False,False,True,False,False
164,2018,1025000,8000,21.5,1497.0,108.5,260.0,5.0,True,False,False,False,False,False,False,False,False,False
165,2016,2150000,30000,22.69,1995.0,190.0,400.0,5.0,True,False,False,False,False,False,False,False,False,False
166,2016,1900000,41000,19.16,2494.0,157.7,213.0,5.0,False,False,True,False,False,False,False,False,False,False
167,2016,2900000,12000,18.12,1995.0,190.0,400.0,5.0,True,False,False,False,False,False,False,False,False,False
168,2009,450000,71000,12.1,2362.0,164.7,224.0,5.0,False,False,True,False,False,False,False,False,False,False
169,2016,850000,20000,17.5,1373.0,91.1,130.0,7.0,False,False,True,True,False,True,False,False,False,False
170,2011,300000,100000,20.54,1598.0,103.6,250.0,5.0,True,False,False,True,False,True,False,True,False,False
171,2018,575000,9500,18.16,1196.0,86.8,112.0,5.0,False,False,True,True,False,True,False,False,False,False
172,2011,160000,120000,20.0,1399.0,68.0,160.0,5.0,True,False,False,True,False,True,False,False,False,False
173,2015,515000,36600,20.4,1197.0,81.8,113.0,5.0,False,False,True,True,False,True,False,False,False,False
174,2015,390000,50000,20.51,998.0,67.0,90.0,5.0,False,False,True,True,False,False,False,True,False,False
175,2016,550000,14000,18.6,1197.0,81.83,114.7,5.0,False,False,True,True,False,True,False,True,False,False
176,1999,40000,40000,16.1,796.0,37.0,59.0,4.0,False,False,True,True,False,True,False,True,False,False
177,2010,220000,120000,21.1,1248.0,73.9,113.0,5.0,True,False,False,True,False,True,False,False,False,False
178,2015,425000,70000,18.9,1197.0,82.0,114.0,5.0,False,False,True,True,False,True,False,False,False,False
179,2019,480000,13000,19.44,999.0,75.0,95.0,5.0,False,False,True,True,False,True,False,False,False,False
180,2014,400000,60000,18.9,1197.0,82.0,114.0,5.0,False,False,True,True,False,True,False,True,False,False
181,2014,487000,35000,19.1,1197.0,85.8,114.0,5.0,False,False,True,True,False,True,False,False,False,False
182,2016,386000,44000,19.1,1197.0,82.0,114.0,5.0,False,False,True,True,False,True,False,True,False,False
183,2005,100000,120000,13.0,1493.0,100.0,128.38,5.0,False,False,True,True,False,True,False,True,False,False
184,2010,300000,60000,21.43,1364.0,87.2,205.0,5.0,True,False,False,True,False,True,False,False,False,False
185,2000,100000,60000,18.5,796.0,53.0,71.0,5.0,False,False,True,True,False,True,False,False,False,False
186,2014,1750000,30000,13.0,2982.0,168.5,343.0,7.0,True,False,False,True,False,True,False,True,False,False
187,2016,450000,15000,18.15,1198.0,82.0,115.0,6.0,False,False,True,True,False,True,False,True,False,False
188,2017,490000,90000,22.95,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,False,False,False
189,2009,345000,47000,17.0,1497.0,118.0,146.0,5.0,False,False,True,True,False,True,False,True,False,False
190,2005,85000,90000,17.3,993.0,60.0,78.0,5.0,False,False,True,True,False,True,False,False,False,False
191,2010,215000,120600,18.9,998.0,67.1,90.0,5.0,False,False,True,True,False,True,False,True,False,False
192,2010,320000,100000,16.2,1599.0,103.2,146.02,5.0,False,False,True,True,False,True,False,False,False,True
193,2016,459999,60000,20.85,1197.0,83.14,115.0,5.0,False,False,True,True,False,True,False,True,False,False
194,2005,65000,86000,15.3,1341.0,83.0,115.0,5.0,False,False,True,True,False,True,False,False,False,False
195,2020,720000,5000,18.6,1197.0,81.86,117.0,5.0,False,False,True,True,False,True,False,False,False,False
196,2017,800000,37000,28.09,1248.0,88.5,200.0,5.0,True,False,False,True,False,True,False,False,False,False
197,2019,520000,14000,20.3,1199.0,84.0,114.0,5.0,False,False,True,True,False,True,False,False,False,False
198,2015,580000,70000,20.77,1248.0,88.76,200.0,7.0,True,False,False,True,False,True,False,False,False,False
199,2012,235000,120000,23.59,1364.0,67.04545454545453,170.0,5.0,True,False,False,True,False,True,False,False,False,False
200,2015,600000,50000,17.4,1497.0,117.3,145.0,5.0,False,False,True,True,False,True,False,False,False,False
201,2014,290000,60000,19.4,1198.0,86.8,109.0,5.0,False,False,True,True,False,True,False,True,False,False
202,2016,360000,50000,19.41762110224801,998.0,58.16,77.0,5.0,False,False,False,True,False,True,False,False,False,False
203,2017,550000,50000,20.85,1197.0,83.14,115.0,5.0,False,False,True,True,False,True,False,False,False,False
204,2013,375000,70000,18.5,1197.0,82.85,113.7,5.0,False,False,True,True,False,True,False,False,False,False
205,2003,40000,90000,16.8,796.0,34.2,59.0,8.0,False,False,True,True,False,True,False,True,False,False
206,2018,420000,35000,20.51,998.0,67.0,90.0,5.0,False,False,True,True,False,False,False,False,False,False
207,2017,550000,20000,21.21,1197.0,81.8,113.0,5.0,False,False,True,True,False,True,False,False,False,False
208,2018,270000,20000,24.7,796.0,47.3,69.0,5.0,False,False,True,True,False,True,False,False,False,False
209,2018,700000,7800,22.0,1197.0,81.8,113.0,5.0,False,False,True,True,False,False,False,False,False,False
210,2017,500000,20000,20.4,1197.0,81.8,113.0,5.0,False,False,True,True,False,True,False,False,False,False
211,2019,1250000,15000,17.6,2179.0,147.94,320.0,7.0,True,False,False,True,False,True,False,False,False,False
212,2013,320000,31377,18.5,1197.0,82.85,113.7,5.0,False,False,True,True,False,True,False,True,False,False
213,2018,700000,50000,28.4,1248.0,74.02,190.0,5.0,True,False,False,True,False,True,False,False,False,False
214,2015,290000,60000,20.51,998.0,67.04,90.0,5.0,False,False,True,True,False,True,False,False,False,False
215,2012,550000,100000,14.53,1794.0,138.1,173.0,5.0,False,False,True,True,False,False,False,False,False,False
216,2012,265000,60000,19.4,1198.0,86.8,109.0,5.0,False,False,True,True,False,True,False,False,False,False
217,2018,830000,5000,21.4,1197.0,83.1,115.0,5.0,False,False,True,True,False,False,False,False,False,False
218,2017,800000,60000,14.1,2179.0,147.94,320.0,7.0,True,False,False,True,False,True,False,False,False,False
219,2011,160000,25000,19.7,796.0,46.3,62.0,5.0,False,False,True,True,False,True,False,True,False,False
220,2018,335000,30000,25.17,799.0,53.3,72.0,5.0,False,False,True,True,False,True,False,False,False,False
221,2017,329000,80000,20.63,1198.0,67.0,104.0,5.0,False,False,True,True,False,True,False,True,False,False
222,2017,775000,75000,24.3,1248.0,88.5,200.0,5.0,True,False,False,True,False,True,False,False,False,False
223,2020,524000,32000,20.14,1197.0,81.86,113.75,5.0,False,False,True,True,False,True,False,False,False,False
224,2015,245000,40000,22.74,796.0,47.3,69.0,5.0,False,False,True,True,False,True,False,False,False,False
225,2012,275000,93000,17.0,1197.0,80.0,111.72,5.0,False,False,True,True,False,True,False,True,False,False
226,2018,520000,60000,17.57,1193.0,88.7,140.0,5.0,False,False,True,True,False,True,False,False,False,False
227,2008,130000,120000,19.41762110224801,1456.711219879518,91.33642205917592,180.71248774355752,5.416917670682731,False,False,True,True,False,True,False,True,False,False
228,2014,550000,37000,16.95,1498.0,97.7,134.0,5.0,False,False,True,True,False,True,False,False,False,False
229,2018,910000,15000,17.0,1497.0,121.36,150.0,5.0,False,False,True,True,False,True,False,False,False,False
230,2015,300000,80000,19.49,1198.0,67.04,104.0,5.0,False,False,True,True,False,True,False,False,False,False
231,2016,350000,140000,20.51,998.0,67.04,90.0,5.0,False,False,True,True,False,True,False,False,False,False
232,2013,900000,70000,12.83,2696.0,162.0,340.0,7.0,True,False,False,True,False,True,False,False,False,False
233,2013,300000,120000,17.21,1493.0,100.0,240.0,7.0,True,False,False,True,False,True,False,True,False,False
234,2010,250000,110000,21.1,1248.0,73.9,190.0,5.0,True,False,False,True,False,True,False,True,False,False
235,2017,1100000,37000,19.67,1582.0,126.2,259.9,5.0,True,False,False,True,False,True,False,False,False,False
236,2016,270000,44000,25.17,799.0,53.3,72.0,5.0,False,False,True,True,False,True,False,False,False,False
237,2015,640000,80000,20.77,1248.0,88.76,200.0,7.0,True,False,False,True,False,True,False,False,False,False
238,2015,650000,125000,15.1,2179.0,140.0,330.0,7.0,True,False,False,True,False,True,False,False,False,False
239,2017,409999,13500,15.37,1196.0,73.0,101.0,5.0,False,False,True,True,False,True,False,False,False,False
240,2011,165000,75000,17.92,1086.0,62.1,96.1,5.0,False,False,True,True,False,True,False,False,False,False
241,2007,80000,120000,13.2,1495.0,94.0,122.5,5.0,False,False,True,True,False,True,False,True,False,False
242,2012,535000,120000,15.1,2179.0,140.0,330.0,7.0,True,False,False,True,False,True,False,False,False,False
243,2013,700000,70000,12.99,2494.0,100.57,200.0,7.0,True,False,False,True,False,True,False,False,False,False
244,2013,550000,70000,23.4,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,False,False,False
245,2019,680000,15000,19.0,1199.0,88.76,110.0,5.0,False,False,True,True,False,False,False,False,False,False
246,2009,200000,53000,20.36,1197.0,78.9,111.8,5.0,False,False,True,True,False,True,False,True,False,False
247,2014,500000,120000,23.4,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,True,False,False
248,2016,1000000,70000,24.52,1248.0,88.5,200.0,7.0,True,False,False,True,False,True,False,False,False,False
249,2008,110000,120000,14.2,1341.0,82.9,115.64,5.0,False,False,True,True,False,True,False,True,False,False
250,2012,320000,100000,18.5,1197.0,80.0,111.72,5.0,False,False,True,True,False,True,False,True,False,False
251,2005,75000,110000,19.41762110224801,1456.711219879518,91.33642205917592,180.71248774355752,5.416917670682731,True,False,False,True,False,True,False,True,False,False
252,2015,350000,100000,20.4,1197.0,83.11,113.0,5.0,False,False,True,True,False,True,False,False,False,False
253,2013,170000,162500,19.4,1405.0,70.0,135.4,5.0,True,False,False,True,False,True,False,False,False,False
254,2017,800000,39000,22.54,1396.0,88.73,219.7,5.0,True,False,False,True,False,True,False,False,False,False
255,2017,500000,75000,26.8,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,False,False,False
256,2017,1380000,50000,17.6,2179.0,153.86,400.0,7.0,True,False,False,True,False,False,False,False,False,False
257,2019,1300000,40000,17.3,1497.0,121.0,300.0,8.0,True,False,False,True,False,True,False,False,False,False
258,2013,530000,92500,22.32,1582.0,126.3,259.9,5.0,True,False,False,True,False,True,False,False,False,False
259,2012,360000,158000,23.4,1248.0,74.0,190.0,5.0,True,False,False,True,False,True,False,False,False,False
260,2012,310000,120000,19.3,1248.0,73.9,190.0,5.0,True,False,False,True,False,True,False,False,False,False
